Method  Pre-Emphasis  Conv  LPC Order  MCD(dB)    PLSF      


1       Yes           M2F   16         16.157611  0.409848 
2       Yes           M2F   16         15.866155  0.405681 
2       Yes           M2F   16         15.607489  0.405681 
1       Yes           M2F   20         29.338917  0.425147 
2       Yes           M2F   20         14.983896  0.408906 
1       Yes           M2F   24         16.571545  0.403617 
2       Yes           M2F   24         15.664849  0.374001 
1       Yes           F2M   16         17.202330  0.389479 
2       Yes           F2M   16         17.360191  0.408204 
1       Yes           F2M   20         16.198283  0.408690 
2       Yes           F2M   20         16.683770  0.406679 
1       Yes           F2M   24         18.961729  0.384591 
2       Yes           F2M   24         17.109386  0.389481 
